Date,Category,Product_Name,Demand,Available_Supply,Seasonal_Indicator
2021-01-01,Electronics,E001,76,744,0
2021-01-01,Fashion,F001,71,579,0
2021-01-01,Electronics,E003,94,996,0
2021-01-01,Sweets & Grocery,S001,69,761,0
2021-01-01,Sweets & Grocery,S004,98,802,0
2021-01-01,Electronics,E005,82,888,0
2021-01-01,Sweets & Grocery,S002,99,861,0
2021-01-01,Electronics,E002,111,1039,0
2021-01-01,Fashion,F003,70,600,0
2021-01-01,Fashion,F004,56,414,0
2021-01-01,Fashion,F002,59,561,0
2021-01-01,Fashion,F005,56,494,0
2021-01-01,Electronics,E004,77,783,0
2021-01-01,Sweets & Grocery,S003,107,903,0
2021-01-01,Sweets & Grocery,S005,129,971,0
2021-01-02,Sweets & Grocery,S002,104,757,0
2021-01-02,Electronics,E004,88,695,0
2021-01-02,Sweets & Grocery,S005,93,878,0
2021-01-02,Electronics,E002,101,938,0
2021-01-02,Electronics,E005,109,779,0
2021-01-02,Electronics,E003,106,890,0
2021-01-02,Fashion,F005,63,431,0
2021-01-02,Sweets & Grocery,S001,68,693,0
2021-01-02,Fashion,F003,63,537,0
2021-01-02,Electronics,E001,74,670,0
2021-01-02,Sweets & Grocery,S004,77,725,0
2021-01-02,Fashion,F004,54,360,0
2021-01-02,Fashion,F001,74,505,0
2021-01-02,Fashion,F002,66,495,0
2021-01-02,Sweets & Grocery,S003,129,774,0
2021-01-03,Fashion,F001,49,456,0
2021-01-03,Fashion,F004,40,320,0
2021-01-03,Sweets & Grocery,S002,112,645,0
2021-01-03,Fashion,F003,75,462,0
2021-01-03,Electronics,E005,113,666,0
2021-01-03,Electronics,E003,108,782,0
2021-01-03,Sweets & Grocery,S004,74,651,0
2021-01-03,Electronics,E001,89,581,0
2021-01-03,Electronics,E004,91,604,0
2021-01-03,Fashion,F005,58,373,0
2021-01-03,Fashion,F002,62,433,0
2021-01-03,Sweets & Grocery,S005,122,756,0
2021-01-03,Sweets & Grocery,S001,89,604,0
2021-01-03,Electronics,E002,133,805,0
2021-01-03,Sweets & Grocery,S003,94,680,0
2021-01-04,Fashion,F004,48,610,0
2021-01-04,Electronics,E001,70,1078,0
2021-01-04,Sweets & Grocery,S003,103,1311,0
2021-01-04,Fashion,F001,65,845,0
2021-01-04,Sweets & Grocery,S005,104,1436,0
2021-01-04,Electronics,E004,85,1119,0
2021-01-04,Electronics,E003,111,1415,0
2021-01-04,Sweets & Grocery,S004,85,1175,0
2021-01-04,Electronics,E002,107,1503,0
2021-01-04,Fashion,F002,66,802,0
2021-01-04,Fashion,F003,78,860,0
2021-01-04,Sweets & Grocery,S002,101,1243,0
2021-01-04,Sweets & Grocery,S001,93,1069,0
2021-01-04,Electronics,E005,96,1262,0
2021-01-04,Fashion,F005,49,721,0
2021-01-05,Electronics,E001,104,974,0
2021-01-05,Sweets & Grocery,S002,84,1159,0
2021-01-05,Electronics,E002,125,1378,0
2021-01-05,Sweets & Grocery,S003,104,1207,0
2021-01-05,Fashion,F001,54,791,0
2021-01-05,Sweets & Grocery,S004,75,1100,0
2021-01-05,Electronics,E003,119,1296,0
2021-01-05,Sweets & Grocery,S005,134,1302,0
2021-01-05,Electronics,E005,85,1177,0
2021-01-05,Sweets & Grocery,S001,92,977,0
2021-01-05,Fashion,F003,72,788,0
2021-01-05,Fashion,F005,55,666,0
2021-01-05,Electronics,E004,84,1035,0
2021-01-05,Fashion,F002,66,736,0
2021-01-05,Fashion,F004,51,559,0
2021-01-06,Electronics,E005,90,1087,0
2021-01-06,Electronics,E002,105,1273,0
2021-01-06,Fashion,F001,78,713,0
2021-01-06,Electronics,E001,85,889,0
2021-01-06,Electronics,E003,118,1178,0
2021-01-06,Sweets & Grocery,S001,87,890,0
2021-01-06,Electronics,E004,88,947,0
2021-01-06,Sweets & Grocery,S005,110,1192,0
2021-01-06,Sweets & Grocery,S002,106,1053,0
2021-01-06,Sweets & Grocery,S004,80,1020,0
2021-01-06,Fashion,F005,52,614,0
2021-01-06,Fashion,F003,71,717,0
2021-01-06,Sweets & Grocery,S003,109,1098,0
2021-01-06,Fashion,F004,43,516,0
2021-01-06,Fashion,F002,72,664,0
2021-01-07,Fashion,F004,44,472,0
2021-01-07,Electronics,E002,109,1164,0
2021-01-07,Fashion,F003,62,655,0
2021-01-07,Electronics,E005,89,998,0
2021-01-07,Sweets & Grocery,S002,73,980,0
2021-01-07,Electronics,E003,106,1072,0
2021-01-07,Sweets & Grocery,S001,75,815,0
2021-01-07,Electronics,E001,78,811,0
2021-01-07,Electronics,E004,79,868,0
2021-01-07,Sweets & Grocery,S004,83,937,0
2021-01-07,Sweets & Grocery,S003,104,994,0
2021-01-07,Fashion,F005,50,564,0
2021-01-07,Sweets & Grocery,S005,107,1085,0
2021-01-07,Fashion,F002,61,603,0
2021-01-07,Fashion,F001,76,637,0
2021-01-08,Fashion,F004,53,419,0
2021-01-08,Sweets & Grocery,S001,85,730,0
2021-01-08,Fashion,F001,54,583,0
2021-01-08,Electronics,E002,117,1047,0
2021-01-08,Sweets & Grocery,S003,87,907,0
2021-01-08,Electronics,E004,78,790,0
2021-01-08,Electronics,E001,92,719,0
2021-01-08,Sweets & Grocery,S004,83,854,0
2021-01-08,Fashion,F002,60,543,0
2021-01-08,Electronics,E003,128,944,0
2021-01-08,Electronics,E005,105,893,0
2021-01-08,Sweets & Grocery,S005,108,977,0
2021-01-08,Sweets & Grocery,S002,94,886,0
2021-01-08,Fashion,F003,64,591,0
2021-01-08,Fashion,F005,46,518,0
2021-01-09,Fashion,F004,55,364,0
2021-01-09,Sweets & Grocery,S004,95,759,0
2021-01-09,Electronics,E004,90,700,0
2021-01-09,Sweets & Grocery,S002,90,796,0
2021-01-09,Fashion,F005,49,469,0
2021-01-09,Electronics,E003,95,849,0
2021-01-09,Electronics,E002,119,928,0
2021-01-09,Sweets & Grocery,S003,92,815,0
2021-01-09,Fashion,F003,76,515,0
2021-01-09,Fashion,F002,50,493,0
2021-01-09,Electronics,E001,80,639,0
2021-01-09,Electronics,E005,105,788,0
2021-01-09,Fashion,F001,71,512,0
2021-01-09,Sweets & Grocery,S005,122,855,0
2021-01-09,Sweets & Grocery,S001,83,647,0
2021-01-10,Fashion,F001,69,443,0
2021-01-10,Electronics,E002,131,797,0
2021-01-10,Fashion,F003,70,445,0
2021-01-10,Fashion,F005,45,424,0
2021-01-10,Electronics,E001,81,558,0
2021-01-10,Fashion,F004,41,323,0
2021-01-10,Sweets & Grocery,S001,91,556,0
2021-01-10,Sweets & Grocery,S002,96,700,0
2021-01-10,Electronics,E003,100,749,0
2021-01-10,Sweets & Grocery,S005,119,736,0
2021-01-10,Fashion,F002,59,434,0
